,rental_duration,rental_rate,length,replacement_cost,amount,count_payment,category_count,actor_count
count,1000.0,1000.0,1000.0,1000.0,958.0,1000.0,1000.0,997.0
mean,4.985,2.980000000000001,115.272,19.984,70.36175365344468,16.044,1.0,5.4784353059177535
std,1.4116542663725307,1.6463932126350045,40.426331818559845,6.050832717616359,42.28977727190431,7.348064919287122,0.0,2.321712245321875
min,3.0,0.99,46.0,9.99,5.94,0.0,1.0,1.0
10%,3.0,0.99,60.0,11.99,22.87,7.0,1.0,3.0
25%,4.0,0.99,80.0,14.99,37.7425,11.0,1.0,4.0
50%,5.0,2.99,114.0,19.99,62.32,16.0,1.0,5.0
75%,6.0,4.99,149.25,24.99,95.755,21.0,1.0,7.0
90%,7.0,4.99,173.0,27.99,130.803,26.0,1.0,8.0
max,7.0,4.99,185.0,29.99,231.73,34.0,1.0,15.0
var,1.9927677677677675,2.7106106106106114,1634.2883043043043,36.61257657657657,1788.4252617072748,53.99405805805806,0.0,5.390347750077542
nan%,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.3
